threshold,f1_cal
0.350000,0.901564
0.360000,0.896488
0.370000,0.895273
0.380000,0.894884
0.390000,0.893458
0.400000,0.894294
0.410000,0.896617
0.420000,0.897267
0.430000,0.895184
0.440000,0.894986
0.450000,0.893939
0.460000,0.895636
0.470000,0.896486
0.480000,0.897338
0.490000,0.895238
0.500000,0.894185
0.510000,0.893983
0.520000,0.894636
0.530000,0.892100
0.540000,0.888889
0.550000,0.888458
0.560000,0.888241
0.570000,0.883902
0.580000,0.881720
0.590000,0.881256
0.600000,0.875740
0.610000,0.873267
0.620000,0.868526
0.630000,0.866267
0.640000,0.863727
0.650000,0.861167
