threshold,f1_cal
0.350000,0.900735
0.360000,0.900369
0.370000,0.897127
0.380000,0.896104
0.390000,0.895911
0.400000,0.897579
0.410000,0.896359
0.420000,0.898036
0.430000,0.896811
0.440000,0.898305
0.450000,0.897073
0.460000,0.897921
0.470000,0.897727
0.480000,0.897533
0.490000,0.897533
0.500000,0.897533
0.510000,0.893333
0.520000,0.892278
0.530000,0.893130
0.540000,0.892073
0.550000,0.888889
0.560000,0.888676
0.570000,0.889103
0.580000,0.886518
0.590000,0.883902
0.600000,0.879921
0.610000,0.877228
0.620000,0.875869
0.630000,0.874751
0.640000,0.871129
0.650000,0.866062
