threshold,f1
0.350000,0.894986
0.360000,0.894986
0.370000,0.893939
0.380000,0.894787
0.390000,0.895636
0.400000,0.895636
0.410000,0.895636
0.420000,0.896486
0.430000,0.896486
0.440000,0.896486
0.450000,0.897338
0.460000,0.896289
0.470000,0.896289
0.480000,0.895238
0.490000,0.895238
0.500000,0.894185
0.510000,0.895038
0.520000,0.895038
0.530000,0.893983
0.540000,0.893983
0.550000,0.894636
0.560000,0.894636
0.570000,0.894434
0.580000,0.892100
0.590000,0.889961
0.600000,0.888889
0.610000,0.888674
0.620000,0.887597
0.630000,0.888458
0.640000,0.889320
0.650000,0.888241
