threshold,f1
0.350000,0.900935
0.360000,0.900749
0.370000,0.899719
0.380000,0.899719
0.390000,0.900563
0.400000,0.900563
0.410000,0.899531
0.420000,0.900376
0.430000,0.900188
0.440000,0.900188
0.450000,0.900188
0.460000,0.900188
0.470000,0.900188
0.480000,0.900188
0.490000,0.900188
0.500000,0.900188
0.510000,0.898113
0.520000,0.897073
0.530000,0.894986
0.540000,0.893939
0.550000,0.893939
0.560000,0.893939
0.570000,0.893939
0.580000,0.893939
0.590000,0.893939
0.600000,0.892891
0.610000,0.892891
0.620000,0.890788
0.630000,0.889734
0.640000,0.888677
0.650000,0.888677
