epoch,loss_train,val_loss,task_loss,cont_loss,adv_loss,auroc,val_auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,12.45770263671875,12.430394172668457,0.26074883341789246,7.590895652770996,0.16325359046459198,0.8694570403495353,0.9336045110192837,0.8596085151996481,0.7750336775931747,0.804287045666356,0.7893894351703636,1641,501,420,1726
2,12.603813171386719,12.555370330810547,0.46728724241256714,7.589977264404297,0.05126643553376198,0.9233512482229234,0.9392352392567616,0.9162219923972078,0.8367162832656744,0.8648018648018648,0.8505272810637322,1781,362,290,1855
3,12.261213302612305,12.332688331604004,0.2222168743610382,7.589260578155518,0.028895603492856026,0.940372895109246,0.9379499596448749,0.9368087376836655,0.849005424954792,0.8763415772281848,0.8624569460390356,1811,334,265,1878
4,12.334295272827148,12.381795883178711,0.2835843861103058,7.589328765869141,0.02280377596616745,0.9421020194346768,0.9474711241839443,0.9383700989918883,0.8509593931280678,0.8886300093196645,0.8693868247093686,1808,334,239,1907
5,12.405216217041016,12.099593162536621,0.3421994149684906,7.589260578155518,0.01822272501885891,0.9486037036746977,0.9497180451127819,0.9458047288897662,0.8603705377315861,0.8888888888888888,0.8743972445464983,1837,309,238,1904
6,12.44925594329834,12.1349458694458,0.3765406608581543,7.5893144607543945,0.017722420394420624,0.9533022082886368,0.9487558423576761,0.9506496070602103,0.8590869183494293,0.911504424778761,0.8845197740112994,1820,321,190,1957
7,12.35810375213623,12.37468147277832,0.3141549229621887,7.589022159576416,0.008514519780874252,0.9539387982592851,0.951672089044167,0.9517020679340169,0.8559397163120568,0.8998136067101584,0.8773284870513403,1817,325,215,1931
8,12.245920181274414,12.317171096801758,0.22655770182609558,7.588963031768799,0.00981569942086935,0.9571714488653359,0.9551366669058039,0.9545246466052446,0.8683623382418563,0.9080727951469902,0.8877737226277372,1850,295,197,1946
9,12.20837688446045,12.362642288208008,0.198387011885643,7.589288711547852,0.008360938169062138,0.9577071551873233,0.9513028007346189,0.955828029482854,0.8592528236316247,0.9221445221445221,0.8895884866201934,1819,324,167,1978
10,12.245782852172852,12.238466262817383,0.22538813948631287,7.589421272277832,0.010428435169160366,0.9609661396032437,0.9563203960111916,0.9589236138596083,0.8672489082969432,0.9250116441546343,0.8951994590939825,1837,304,161,1986
11,12.33033275604248,12.208681106567383,0.29002872109413147,7.589385509490967,0.011232861317694187,0.9618522712316459,0.9549923773652587,0.9580631647097063,0.8652420409943306,0.924941724941725,0.8940964398377648,1834,309,161,1984
12,12.29419231414795,12.497294425964355,0.2637128233909607,7.589455604553223,0.009219949133694172,0.9649433554098867,0.9558043352715194,0.9629111009576314,0.8740642888595332,0.9267040149393091,0.8996147745297983,1860,286,157,1985
13,12.074377059936523,12.438232421875,0.0946318581700325,7.589516639709473,0.0084176454693079,0.9654019044420084,0.9566616328829232,0.9629796524885121,0.8715596330275229,0.9318075665576834,0.9006772009029346,1853,294,146,1995
