threshold,f1_cal
0.350000,0.908098
0.360000,0.906934
0.370000,0.907763
0.380000,0.907594
0.390000,0.909258
0.400000,0.910764
0.410000,0.911602
0.420000,0.913969
0.430000,0.910946
0.440000,0.910781
0.450000,0.913165
0.460000,0.913003
0.470000,0.911985
0.480000,0.914393
0.490000,0.912347
0.500000,0.911321
0.510000,0.909263
0.520000,0.908231
0.530000,0.908231
0.540000,0.904084
0.550000,0.899905
0.560000,0.898467
0.570000,0.898077
0.580000,0.895551
0.590000,0.894277
0.600000,0.894072
0.610000,0.890838
0.620000,0.889107
0.630000,0.889546
0.640000,0.886251
0.650000,0.881356
