threshold,f1_cal
0.350000,0.872435
0.360000,0.871199
0.370000,0.874101
0.380000,0.873646
0.390000,0.875000
0.400000,0.875568
0.410000,0.876364
0.420000,0.876712
0.430000,0.876487
0.440000,0.875229
0.450000,0.872125
0.460000,0.873265
0.470000,0.873031
0.480000,0.871269
0.490000,0.874532
0.500000,0.875117
0.510000,0.873823
0.520000,0.874410
0.530000,0.875000
0.540000,0.873694
0.550000,0.873805
0.560000,0.873563
0.570000,0.872483
0.580000,0.870067
0.590000,0.868472
0.600000,0.867704
0.610000,0.867446
0.620000,0.867188
0.630000,0.866405
0.640000,0.865613
0.650000,0.862275
