threshold,f1
0.350000,0.910781
0.360000,0.912477
0.370000,0.913327
0.380000,0.912150
0.390000,0.913003
0.400000,0.913003
0.410000,0.913003
0.420000,0.913003
0.430000,0.912840
0.440000,0.913534
0.450000,0.914393
0.460000,0.912347
0.470000,0.912347
0.480000,0.912347
0.490000,0.911321
0.500000,0.911321
0.510000,0.911321
0.520000,0.910293
0.530000,0.909263
0.540000,0.908231
0.550000,0.908231
0.560000,0.908231
0.570000,0.908231
0.580000,0.908231
0.590000,0.907197
0.600000,0.905123
0.610000,0.904084
0.620000,0.900952
0.630000,0.899905
0.640000,0.898662
0.650000,0.898467
