threshold,f1
0.350000,0.877289
0.360000,0.875229
0.370000,0.874197
0.380000,0.872125
0.390000,0.873733
0.400000,0.873265
0.410000,0.873265
0.420000,0.874074
0.430000,0.873031
0.440000,0.874419
0.450000,0.871269
0.460000,0.871269
0.470000,0.874532
0.480000,0.874532
0.490000,0.874296
0.500000,0.875117
0.510000,0.873823
0.520000,0.873823
0.530000,0.875472
0.540000,0.874410
0.550000,0.874410
0.560000,0.874172
0.570000,0.875000
0.580000,0.874763
0.590000,0.873694
0.600000,0.875119
0.610000,0.874881
0.620000,0.873805
0.630000,0.872727
0.640000,0.873563
0.650000,0.872483
