threshold,f1_cal
0.350000,0.929936
0.360000,0.928702
0.370000,0.928702
0.380000,0.929552
0.390000,0.930403
0.400000,0.929293
0.410000,0.929163
0.420000,0.929032
0.430000,0.926063
0.440000,0.926063
0.450000,0.926063
0.460000,0.925926
0.470000,0.925926
0.480000,0.923933
0.490000,0.924651
0.500000,0.925512
0.510000,0.924511
0.520000,0.923507
0.530000,0.923221
0.540000,0.924086
0.550000,0.925822
0.560000,0.922642
0.570000,0.923368
0.580000,0.925118
0.590000,0.925118
0.600000,0.925856
0.610000,0.923810
0.620000,0.922784
0.630000,0.923664
0.640000,0.920422
0.650000,0.921305
