threshold,f1_cal
0.350000,0.910420
0.360000,0.912924
0.370000,0.912764
0.380000,0.911765
0.390000,0.911765
0.400000,0.913444
0.410000,0.914972
0.420000,0.912963
0.430000,0.912801
0.440000,0.912477
0.450000,0.912313
0.460000,0.910280
0.470000,0.909091
0.480000,0.906692
0.490000,0.906692
0.500000,0.902370
0.510000,0.903226
0.520000,0.903901
0.530000,0.904580
0.540000,0.903534
0.550000,0.901246
0.560000,0.901246
0.570000,0.898941
0.580000,0.899807
0.590000,0.897485
0.600000,0.896016
0.610000,0.895610
0.620000,0.892368
0.630000,0.893032
0.640000,0.891732
0.650000,0.889546
