threshold,f1
0.350000,0.912477
0.360000,0.912313
0.370000,0.912313
0.380000,0.911298
0.390000,0.910280
0.400000,0.910280
0.410000,0.910112
0.420000,0.909944
0.430000,0.909774
0.440000,0.908749
0.450000,0.906692
0.460000,0.906692
0.470000,0.906692
0.480000,0.902554
0.490000,0.903409
0.500000,0.902370
0.510000,0.903226
0.520000,0.903226
0.530000,0.903226
0.540000,0.904943
0.550000,0.903901
0.560000,0.903901
0.570000,0.902857
0.580000,0.904580
0.590000,0.904580
0.600000,0.904580
0.610000,0.903534
0.620000,0.902486
0.630000,0.902299
0.640000,0.901246
0.650000,0.901246
