task,run_name,auprc_mean,auprc_std,auroc_mean,auroc_std,f1_mean,f1_std,elapsed_sec,result_dir,command
LDA,LDA_B_001,0.9437,0.0074,0.9474,0.0051,0.8843,0.0047,813.67,/root/OUTPUT/result/LDA_B_001_data_20251018_170253,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=50 --seed=0 --run_name=LDA_B_001 --dimensions=96 --hidden1=96 --hidden2=48 --lr=0.0001 --weight_decay=1e-05 --dropout=0.1 --batch=32 --moco_queue=4096 --moco_momentum=0.999 --moco_t=0.07 --loss_ratio1=0.2 --loss_ratio2=0.6 --loss_ratio3=0.2 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=online --proj_dim=64 --similarity_threshold=0.5 --noise_std=0.005 --mask_rate=0.05"
LDA,LDA_B_002,0.936,0.0057,0.9352,0.0029,0.8529,0.0091,127.0,/root/OUTPUT/result/LDA_B_002_data_20251018_171626,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=3 --seed=0 --run_name=LDA_B_002 --dimensions=128 --hidden1=256 --hidden2=32 --lr=0.0003 --weight_decay=5e-05 --dropout=0.2 --batch=32 --moco_queue=4096 --moco_momentum=0.999 --moco_t=0.07 --loss_ratio1=0.5 --loss_ratio2=0.5 --loss_ratio3=0.5 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=online --proj_dim=128 --similarity_threshold=0.5 --noise_std=0.01 --mask_rate=0.2"
LDA,LDA_B_003,0.9435,0.0079,0.9512,0.0046,0.8848,0.0054,1219.22,/root/OUTPUT/result/LDA_B_003_data_20251018_171833,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=100 --seed=0 --run_name=LDA_B_003 --dimensions=128 --hidden1=256 --hidden2=64 --lr=0.0005 --weight_decay=0.0005 --dropout=0.0 --batch=64 --moco_queue=1024 --moco_momentum=0.95 --moco_t=0.2 --loss_ratio1=0.4 --loss_ratio2=0.4 --loss_ratio3=0.2 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=static --proj_dim=64 --similarity_threshold=0.5 --noise_std=0.02 --mask_rate=0.1"
LDA,LDA_B_004,0.9444,0.0114,0.9536,0.0062,0.8969,0.008,2691.73,/root/OUTPUT/result/LDA_B_004_data_20251018_173852,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=100 --seed=0 --run_name=LDA_B_004 --dimensions=96 --hidden1=48 --hidden2=24 --lr=0.0005 --weight_decay=0.0001 --dropout=0.2 --batch=16 --moco_queue=1024 --moco_momentum=0.95 --moco_t=0.2 --loss_ratio1=0.4 --loss_ratio2=0.4 --loss_ratio3=0.2 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=static --proj_dim=24 --similarity_threshold=0.6 --noise_std=0.005 --mask_rate=0.1"
LDA,LDA_B_005,0.9348,0.0087,0.9444,0.0045,0.8822,0.0101,988.22,/root/OUTPUT/result/LDA_B_005_data_20251018_182344,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=100 --seed=0 --run_name=LDA_B_005 --dimensions=128 --hidden1=128 --hidden2=128 --lr=0.0001 --weight_decay=1e-05 --dropout=0.0 --batch=64 --moco_queue=4096 --moco_momentum=0.999 --moco_t=0.07 --loss_ratio1=0.2 --loss_ratio2=0.6 --loss_ratio3=0.2 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=online --proj_dim=128 --similarity_threshold=0.5 --noise_std=0.005 --mask_rate=0.2"
LDA,LDA_B_006,0.9247,0.0135,0.939,0.0079,0.8779,0.0135,731.13,/root/OUTPUT/result/LDA_B_006_data_20251018_184012,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=100 --seed=0 --run_name=LDA_B_006 --dimensions=96 --hidden1=48 --hidden2=24 --lr=0.0003 --weight_decay=5e-05 --dropout=0.0 --batch=64 --moco_queue=8192 --moco_momentum=0.99 --moco_t=0.1 --loss_ratio1=0.7 --loss_ratio2=0.5 --loss_ratio3=0.3 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=static --proj_dim=32 --similarity_threshold=0.5 --noise_std=0.02 --mask_rate=0.05"
LDA,LDA_B_007,0.9504,0.0114,0.9555,0.0079,0.8868,0.0138,930.65,/root/OUTPUT/result/LDA_B_007_data_20251018_185224,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=100 --seed=0 --run_name=LDA_B_007 --dimensions=64 --hidden1=128 --hidden2=64 --lr=0.001 --weight_decay=1e-05 --dropout=0.1 --batch=64 --moco_queue=8192 --moco_momentum=0.99 --moco_t=0.2 --loss_ratio1=0.4 --loss_ratio2=0.4 --loss_ratio3=0.2 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=static --proj_dim=64 --similarity_threshold=0.6 --noise_std=0.02 --mask_rate=0.2"
LDA,LDA_B_008,0.9432,0.0044,0.9488,0.003,0.8804,0.0109,4235.54,/root/OUTPUT/result/LDA_B_008_data_20251018_190753,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=100 --seed=0 --run_name=LDA_B_008 --dimensions=96 --hidden1=192 --hidden2=96 --lr=0.0003 --weight_decay=0.0005 --dropout=0.1 --batch=16 --moco_queue=4096 --moco_momentum=0.999 --moco_t=0.07 --loss_ratio1=0.2 --loss_ratio2=0.2 --loss_ratio3=0.6 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=online --proj_dim=96 --similarity_threshold=0.5 --noise_std=0.005 --mask_rate=0.05"
LDA,LDA_B_009,0.9383,0.009,0.9459,0.0049,0.8793,0.0111,1413.16,/root/OUTPUT/result/LDA_B_009_data_20251018_201829,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=100 --seed=0 --run_name=LDA_B_009 --dimensions=64 --hidden1=64 --hidden2=16 --lr=0.0003 --weight_decay=1e-05 --dropout=0.1 --batch=32 --moco_queue=1024 --moco_momentum=0.95 --moco_t=0.07 --loss_ratio1=0.7 --loss_ratio2=0.5 --loss_ratio3=0.3 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=static --proj_dim=64 --similarity_threshold=0.6 --noise_std=0.02 --mask_rate=0.2"
LDA,LDA_B_010,0.9429,0.008,0.9453,0.0067,0.8732,0.0127,1595.23,/root/OUTPUT/result/LDA_B_010_data_20251018_204202,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=50 --seed=0 --run_name=LDA_B_010 --dimensions=128 --hidden1=64 --hidden2=128 --lr=0.001 --weight_decay=1e-05 --dropout=0.2 --batch=16 --moco_queue=4096 --moco_momentum=0.95 --moco_t=0.1 --loss_ratio1=0.2 --loss_ratio2=0.2 --loss_ratio3=0.6 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=static --proj_dim=32 --similarity_threshold=0.4 --noise_std=0.02 --mask_rate=0.05"
LDA,LDA_B_011,0.9412,0.0075,0.9494,0.0049,0.881,0.0081,3416.76,/root/OUTPUT/result/LDA_B_011_data_20251018_210838,"/root/miniconda3/bin/python /root/hyperparameter-tuning/main.py --task_type=LDA --epochs=100 --seed=0 --run_name=LDA_B_011 --dimensions=64 --hidden1=128 --hidden2=16 --lr=0.0005 --weight_decay=1e-05 --dropout=0.2 --batch=16 --moco_queue=8192 --moco_momentum=0.99 --moco_t=0.2 --loss_ratio1=0.7 --loss_ratio2=0.5 --loss_ratio3=0.3 --feature_type=one_hot --augment=random_permute_features,attribute_mask,noise_then_mask --augment_mode=online --proj_dim=32 --similarity_threshold=0.5 --noise_std=0.005 --mask_rate=0.05"
