epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,2.864607,0.464242,6.663167,0.068217,0.893811,0.885555,0.804002,0.824627,0.814184,1713,431,376,1768
2,2.781561,0.108563,6.837775,0.015128,0.938207,0.934842,0.856685,0.871449,0.864004,1828,313,276,1871
3,2.820466,0.210966,6.836641,0.007115,0.950856,0.947111,0.868192,0.884795,0.876415,1856,288,247,1897
4,2.824413,0.232064,6.825815,0.006308,0.955088,0.952811,0.875288,0.887955,0.881576,1875,271,240,1902
5,3.052010,0.744162,6.882593,0.006540,0.962155,0.959433,0.882380,0.905828,0.893950,1884,259,202,1943
6,2.881844,0.357632,6.844488,0.004979,0.965105,0.961146,0.891880,0.913125,0.902377,1910,237,186,1955
7,2.863876,0.373713,6.783632,0.004690,0.970697,0.967725,0.896396,0.928605,0.912216,1915,230,153,1990
8,2.744441,0.050850,6.808543,0.003418,0.972108,0.967028,0.902904,0.928605,0.915574,1931,214,153,1990
9,2.810117,0.349584,6.670589,0.010237,0.973540,0.970171,0.901257,0.935259,0.917943,1921,220,139,2008
10,2.730846,0.141898,6.683099,0.004236,0.973656,0.968078,0.906829,0.936041,0.921204,1940,206,137,2005
11,2.640989,0.085202,6.514108,0.006323,0.975276,0.972109,0.909173,0.938433,0.923571,1943,201,132,2012
12,2.758929,0.364512,6.531303,0.003014,0.976742,0.973148,0.916024,0.942550,0.929098,1962,185,123,2018
13,2.620004,0.163836,6.384042,0.004266,0.977756,0.974176,0.915468,0.948742,0.931808,1954,188,110,2036
14,2.602011,0.082467,6.419166,0.006787,0.980187,0.977044,0.918992,0.951538,0.934982,1962,180,104,2042
15,2.623879,0.192878,6.364967,0.003705,0.981225,0.977933,0.920506,0.951003,0.935506,1969,176,105,2038
16,2.600307,0.033843,6.464691,0.004468,0.979175,0.975848,0.922273,0.945921,0.933947,1972,171,116,2029
17,2.561493,0.155584,6.246274,0.003752,0.982622,0.979580,0.933303,0.953336,0.943213,1999,146,100,2043
18,2.676670,0.135308,6.554126,0.004479,0.982986,0.980619,0.927314,0.958469,0.942634,1984,161,89,2054
19,2.528697,0.088935,6.231449,0.002717,0.983107,0.978724,0.929091,0.952470,0.940635,1986,156,102,2044
20,2.558564,0.134451,6.260041,0.003836,0.984379,0.982602,0.928051,0.951447,0.939604,1988,158,104,2038
21,2.494689,0.076802,6.158519,0.002804,0.983780,0.981059,0.927830,0.959869,0.943578,1985,160,86,2057
22,2.534446,0.067175,6.267028,0.003823,0.983581,0.980683,0.925158,0.957983,0.941284,1980,166,90,2052
23,2.458657,0.202659,5.942181,0.003605,0.984677,0.981802,0.929603,0.960821,0.944954,1988,156,84,2060
24,2.485208,0.352760,5.858945,0.002626,0.985804,0.983523,0.936450,0.962220,0.949160,2004,140,81,2063
25,2.460691,0.236645,5.913598,0.002971,0.985625,0.983179,0.932671,0.961341,0.946789,1992,149,83,2064
26,2.417568,0.141952,5.900437,0.003063,0.986416,0.984258,0.938813,0.960299,0.949434,2013,134,85,2056
27,2.406940,0.108843,5.906682,0.003649,0.986682,0.985089,0.933514,0.962687,0.947876,1997,147,80,2064
28,2.516568,0.279179,6.009936,0.004607,0.987587,0.985730,0.939545,0.964086,0.951657,2011,133,77,2067
29,2.535334,0.402994,5.933944,0.002796,0.986422,0.984147,0.932822,0.965019,0.948647,1995,149,75,2069
30,2.405190,0.137966,5.873707,0.002605,0.987130,0.984910,0.942334,0.961251,0.951699,2020,126,83,2059
31,2.517392,0.373181,5.918759,0.003078,0.988586,0.986673,0.943636,0.967832,0.955581,2019,124,69,2076
