epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,1.605692,0.647147,6.927243,0.151357,0.834840,0.825491,0.724213,0.772134,0.747406,1511,631,489,1657
2,1.416255,0.240755,6.774118,0.022133,0.923364,0.914223,0.836883,0.861474,0.849000,1784,360,297,1847
3,1.360598,0.233591,6.540645,0.009585,0.936481,0.931525,0.850204,0.875234,0.862537,1818,330,267,1873
4,1.367769,0.407565,6.409953,0.007110,0.942960,0.938686,0.861552,0.885261,0.873246,1839,305,246,1898
5,1.293704,0.235488,6.219045,0.004662,0.948718,0.944279,0.871115,0.889407,0.880166,1863,282,237,1906
6,1.270983,0.244067,6.098357,0.004163,0.950409,0.946839,0.865577,0.889823,0.877532,1850,296,236,1906
7,1.249311,0.187010,6.048414,0.003710,0.954003,0.950770,0.875000,0.897854,0.886280,1869,275,219,1925
8,1.255575,0.192611,6.076410,0.002952,0.955035,0.951968,0.870337,0.891841,0.880958,1858,285,232,1913
9,1.277261,0.422129,5.953521,0.003551,0.958025,0.954848,0.879420,0.904851,0.891954,1878,266,204,1940
10,1.257305,0.334503,5.945832,0.002063,0.959871,0.957315,0.875624,0.899301,0.887305,1869,274,216,1929
11,1.246583,0.250768,5.975824,0.002108,0.960308,0.958086,0.881954,0.908667,0.895111,1881,261,196,1950
12,1.226206,0.205637,5.920275,0.001706,0.962462,0.960555,0.883636,0.906716,0.895028,1888,256,200,1944
13,1.276684,0.456906,5.921185,0.001776,0.964447,0.962185,0.882969,0.905229,0.893960,1889,257,203,1939
14,1.200641,0.164276,5.833586,0.001780,0.965452,0.963712,0.887075,0.911888,0.899310,1894,249,189,1956
15,1.195313,0.199286,5.772976,0.001435,0.968272,0.965812,0.892857,0.922897,0.907629,1911,237,165,1975
16,1.215953,0.308002,5.765867,0.001965,0.969561,0.967069,0.896222,0.919664,0.907792,1919,228,172,1969
17,1.152584,0.173175,5.583993,0.001917,0.968748,0.966735,0.893946,0.916472,0.905069,1912,233,179,1964
18,1.149219,0.206081,5.536617,0.001133,0.971976,0.969073,0.903285,0.923507,0.913284,1932,212,164,1980
19,1.134083,0.173133,5.493695,0.001195,0.971930,0.968547,0.906538,0.917949,0.912208,1940,203,176,1969
20,1.111060,0.098331,5.453526,0.001147,0.972380,0.970136,0.902406,0.927239,0.914654,1929,215,156,1988
21,1.109309,0.133082,5.409710,0.001251,0.973833,0.971837,0.904159,0.931966,0.917852,1930,212,146,2000
22,1.112249,0.165016,5.393599,0.000878,0.975262,0.972357,0.910909,0.934701,0.922652,1948,196,140,2004
23,1.127290,0.243041,5.389009,0.001465,0.975205,0.972449,0.912153,0.934701,0.923290,1951,193,140,2004
24,1.107751,0.121419,5.414952,0.000795,0.976836,0.974368,0.913614,0.941725,0.927456,1952,191,125,2020
25,1.100548,0.154912,5.345385,0.000814,0.978895,0.976878,0.918784,0.944496,0.931463,1965,179,119,2025
26,1.069945,0.068487,5.278991,0.000748,0.978317,0.975874,0.917389,0.937937,0.927550,1964,181,133,2010
27,1.097924,0.173046,5.314800,0.000591,0.978259,0.976213,0.914701,0.940299,0.927323,1956,188,128,2016
28,1.058406,0.043636,5.244780,0.001205,0.979355,0.976416,0.909336,0.944963,0.926807,1942,202,118,2026
29,1.130053,0.426151,5.221745,0.000789,0.980043,0.977916,0.917765,0.941725,0.929590,1962,181,125,2020
30,1.105781,0.289118,5.238211,0.000525,0.980613,0.978210,0.917914,0.943590,0.930575,1962,181,121,2024
31,1.062475,0.077441,5.233513,0.000474,0.980375,0.978217,0.920527,0.945429,0.932812,1969,175,117,2027
32,1.059294,0.058912,5.230835,0.002240,0.980413,0.978039,0.916893,0.946387,0.931406,1959,184,115,2030
33,1.109853,0.352897,5.193862,0.000836,0.981745,0.979542,0.922762,0.947295,0.934868,1974,170,113,2031
34,1.108761,0.335341,5.206063,0.000800,0.981729,0.978986,0.923321,0.949160,0.936063,1975,169,109,2035
35,1.083838,0.282657,5.134208,0.000776,0.983347,0.980651,0.923947,0.952403,0.937960,1977,168,102,2041
36,1.083299,0.284314,5.130722,0.000486,0.983772,0.981758,0.924717,0.950583,0.937471,1977,166,106,2039
