epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.676370,0.333159,8.127803,0.112312,0.884785,0.883631,0.787717,0.825560,0.806194,1667,477,374,1770
2,4.508152,0.243371,7.967940,0.032535,0.942034,0.937381,0.862196,0.875466,0.868780,1844,300,267,1877
3,5.257823,0.698475,8.328769,0.725373,0.451101,0.456477,0.473219,0.449160,0.460876,1072,1072,1181,963
4,5.251747,0.701241,8.331042,0.708231,0.490347,0.489403,0.493647,0.489272,0.491450,1068,1076,1095,1049
5,5.236493,0.697435,8.312184,0.701891,0.498233,0.496406,0.496546,0.536631,0.515811,979,1166,993,1150
6,5.234125,0.693171,8.313498,0.699546,0.490233,0.491364,0.492351,0.569897,0.528294,881,1261,923,1223
7,5.241212,0.710270,8.315795,0.695806,0.493828,0.493037,0.488690,0.433302,0.459333,1172,972,1215,929
8,5.233768,0.693052,8.316388,0.695760,0.492806,0.495289,0.497324,0.606527,0.546524,828,1315,844,1301
9,5.228205,0.687737,8.317282,0.688438,0.487050,0.489420,0.494889,0.542484,0.517595,960,1186,980,1162
10,5.228431,0.695600,8.315799,0.683442,0.483012,0.490598,0.485866,0.384795,0.429464,1271,873,1319,825
