epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.717983,0.485447,8.058300,0.134932,0.762319,0.765658,0.683831,0.663089,0.673300,1488,657,722,1421
2,4.498019,0.277979,7.922143,0.031499,0.917383,0.911219,0.840888,0.847948,0.844403,1800,344,326,1818
3,5.169947,0.693763,8.177479,0.720280,0.473776,0.472977,0.475243,0.500932,0.487750,955,1187,1071,1075
4,5.231305,0.713270,8.295520,0.695595,0.492679,0.499634,0.500976,0.479235,0.489864,1122,1023,1116,1027
5,5.215214,0.696293,8.281499,0.694116,0.498485,0.499520,0.504749,0.521008,0.512750,1051,1095,1026,1116
6,5.224364,0.693049,8.306651,0.687668,0.504878,0.502699,0.503947,0.565501,0.532953,949,1194,932,1213
7,5.220390,0.697394,8.300912,0.682122,0.500674,0.503616,0.501988,0.471082,0.486044,1142,1002,1134,1010
8,5.208161,0.692095,8.290582,0.673797,0.501554,0.497566,0.504221,0.502102,0.503159,1090,1057,1066,1075
9,5.201185,0.695449,8.285132,0.662820,0.484478,0.491094,0.489253,0.626399,0.549397,742,1402,801,1343
10,5.203841,0.691703,8.289794,0.666376,0.500117,0.505260,0.500790,0.442944,0.470094,1193,948,1196,951
