epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.581641,0.393669,7.958172,0.054988,0.895865,0.888301,0.799628,0.802613,0.801118,1714,431,423,1720
2,4.533656,0.363344,7.924586,0.023258,0.947868,0.940267,0.863657,0.901540,0.882192,1840,305,211,1932
3,5.261102,0.697355,8.307874,0.755923,0.408617,0.426567,0.432008,0.409874,0.420650,984,1157,1267,880
4,5.243412,0.692433,8.314526,0.717657,0.503381,0.501660,0.506612,0.464552,0.484672,1174,970,1148,996
5,5.238476,0.689135,8.314449,0.710837,0.483565,0.491680,0.490021,0.537995,0.512889,942,1201,991,1154
6,5.235633,0.689132,8.317014,0.702331,0.498281,0.491826,0.496658,0.450560,0.472487,1165,979,1178,966
7,5.228903,0.675354,8.316050,0.702332,0.503555,0.497907,0.505795,0.508862,0.507324,1078,1066,1053,1091
8,5.243438,0.708506,8.317553,0.699912,0.501343,0.500401,0.499027,0.478545,0.488571,1114,1030,1118,1026
9,5.241343,0.707813,8.317536,0.696365,0.490046,0.491350,0.491300,0.448598,0.468979,1154,994,1180,960
10,5.233808,0.693503,8.317951,0.693717,0.473956,0.479350,0.486405,0.450770,0.467910,1125,1020,1177,966
