epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.736722,0.370838,8.944723,0.052489,0.888154,0.881849,0.793327,0.797392,0.795354,1695,446,435,1712
2,3.653651,0.307588,8.824526,0.004026,0.947232,0.942469,0.872077,0.887127,0.879538,1865,279,242,1902
3,3.606606,0.241165,8.771383,0.007934,0.958417,0.956314,0.875850,0.901166,0.888327,1869,274,212,1933
4,3.665923,0.308898,8.851154,0.009511,0.957906,0.954224,0.878147,0.910065,0.893822,1871,271,193,1953
5,3.699581,0.296854,8.950258,0.003683,0.952418,0.949228,0.867351,0.906206,0.886353,1848,297,201,1942
6,3.708098,0.305729,8.963956,0.001120,0.956918,0.954253,0.874270,0.907692,0.890668,1863,280,198,1947
7,3.680781,0.276231,8.925368,0.000705,0.965550,0.961482,0.883742,0.925373,0.904078,1883,261,160,1984
8,3.641543,0.230483,8.873130,0.000490,0.970173,0.967398,0.895964,0.931903,0.913580,1912,232,146,1998
9,3.613026,0.192018,8.840360,0.000376,0.973847,0.970423,0.903889,0.942218,0.922656,1927,215,124,2022
10,3.618672,0.198175,8.848248,0.000512,0.977296,0.973662,0.914427,0.952403,0.933029,1954,191,102,2041
