epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.705996,0.293936,8.943595,0.054919,0.874556,0.869897,0.771946,0.795338,0.783467,1639,504,439,1706
2,3.544606,0.230584,8.628448,0.004968,0.947634,0.944817,0.856951,0.891741,0.874000,1826,319,232,1911
3,3.554939,0.227866,8.658106,0.002753,0.957153,0.953587,0.875899,0.908159,0.891737,1867,276,197,1948
4,3.518980,0.190858,8.604067,0.005050,0.957003,0.954374,0.871300,0.907096,0.888838,1859,287,199,1943
5,3.638413,0.269060,8.826215,0.001518,0.963611,0.960359,0.880178,0.922502,0.900843,1877,269,166,1976
6,3.668450,0.192938,8.976801,0.002772,0.964724,0.960377,0.882719,0.927205,0.904415,1881,264,156,1987
7,3.620757,0.195216,8.856323,0.000709,0.962910,0.958314,0.877748,0.930970,0.903576,1866,278,148,1996
8,3.659827,0.259628,8.889674,0.000531,0.972786,0.968242,0.903528,0.944444,0.923533,1930,216,119,2023
9,3.637635,0.254569,8.839246,0.000544,0.975574,0.972128,0.902525,0.949650,0.925488,1923,220,108,2037
10,3.605947,0.276589,8.737838,0.000884,0.976334,0.972649,0.906696,0.946412,0.926129,1933,209,115,2031
