epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.894999,0.409560,6.932386,0.457676,0.788691,0.780190,0.686833,0.719814,0.702936,1439,704,601,1544
2,3.746592,0.376568,6.931485,0.137272,0.913417,0.907294,0.830548,0.835201,0.832868,1781,365,353,1789
3,3.705368,0.368364,6.927334,0.051705,0.934224,0.932134,0.857342,0.859739,0.858539,1835,307,301,1845
4,3.663810,0.322357,6.907569,0.041527,0.938423,0.937077,0.859512,0.869930,0.864690,1838,305,279,1866
5,3.564776,0.237487,6.823401,0.026459,0.943059,0.942901,0.873887,0.869403,0.871639,1875,269,280,1864
6,3.636987,0.368847,6.808638,0.028398,0.947749,0.945935,0.871435,0.869809,0.870621,1870,275,279,1864
7,3.608337,0.286747,6.858321,0.017820,0.949919,0.949478,0.872045,0.876514,0.874274,1866,276,265,1881
8,3.716800,0.455737,6.876719,0.012496,0.950306,0.949331,0.872271,0.876342,0.874302,1870,275,265,1878
9,3.642792,0.391347,6.808224,0.009680,0.951675,0.951837,0.873675,0.883038,0.878331,1868,274,251,1895
10,3.601418,0.252778,6.890061,0.011803,0.954482,0.953814,0.870046,0.880597,0.875290,1862,282,256,1888
11,3.530722,0.155687,6.864448,0.012715,0.955677,0.954725,0.876959,0.888422,0.882653,1879,267,239,1903
12,3.635636,0.305773,6.896616,0.009660,0.959282,0.958581,0.882160,0.875991,0.879064,1892,251,266,1879
13,3.566897,0.201455,6.885100,0.008685,0.957937,0.956700,0.878690,0.888112,0.883376,1880,263,240,1905
14,3.598267,0.258041,6.880457,0.008035,0.957331,0.956822,0.875288,0.887955,0.881576,1875,271,240,1902
15,3.571852,0.236079,6.853223,0.008985,0.959391,0.958864,0.881671,0.886194,0.883926,1889,255,244,1900
16,3.657167,0.354044,6.876010,0.016839,0.959711,0.959352,0.886047,0.888526,0.887285,1899,245,239,1905
17,3.567163,0.176511,6.915097,0.009269,0.960156,0.958979,0.874773,0.900093,0.887253,1870,276,214,1928
18,3.572428,0.186523,6.917899,0.003911,0.961033,0.960901,0.885223,0.888941,0.887078,1898,247,238,1905
19,3.564228,0.194091,6.889288,0.007823,0.960639,0.959606,0.882820,0.881996,0.882408,1893,251,253,1891
20,3.545873,0.137537,6.924284,0.003022,0.962581,0.962428,0.881138,0.895105,0.888067,1884,259,225,1920
21,3.582730,0.245646,6.865733,0.006189,0.964020,0.963484,0.885268,0.899720,0.892436,1894,250,215,1929
22,3.584502,0.237841,6.876808,0.008483,0.963685,0.961833,0.890227,0.896455,0.893330,1907,237,222,1922
23,3.642819,0.290593,6.929063,0.009830,0.966824,0.965903,0.891743,0.906716,0.899167,1908,236,200,1944
24,3.529903,0.163185,6.861512,0.003091,0.965144,0.963690,0.891644,0.905784,0.898658,1908,236,202,1942
25,3.556326,0.184040,6.887502,0.005379,0.965632,0.964224,0.893123,0.896037,0.894578,1913,230,223,1922
26,3.732888,0.459059,6.910809,0.005119,0.966674,0.965820,0.884177,0.904384,0.894166,1890,254,205,1939
27,3.596118,0.224868,6.918036,0.005447,0.967803,0.966801,0.894324,0.905184,0.899721,1918,229,203,1938
28,3.604050,0.269560,6.880464,0.005206,0.969152,0.967879,0.896931,0.914099,0.905434,1921,225,184,1958
29,3.620389,0.305129,6.867110,0.009391,0.969709,0.968471,0.897106,0.910490,0.903748,1919,224,192,1953
30,3.559548,0.210242,6.864328,0.003097,0.971433,0.970530,0.901654,0.915112,0.908333,1930,214,182,1962
31,3.448370,0.040735,6.844378,0.004351,0.972506,0.971621,0.908422,0.921569,0.914948,1947,199,168,1974
32,3.476859,0.059753,6.878617,0.004247,0.972417,0.971749,0.897424,0.910406,0.903868,1922,223,192,1951
33,3.575779,0.242825,6.855680,0.005610,0.973462,0.971464,0.902930,0.919776,0.911275,1932,212,172,1972
34,3.677100,0.342433,6.939888,0.004242,0.973066,0.971941,0.899909,0.917949,0.908839,1924,219,176,1969
35,3.588791,0.234552,6.893800,0.002899,0.975044,0.974148,0.907339,0.922575,0.914894,1942,202,166,1978
36,3.555740,0.192142,6.878355,0.003192,0.973893,0.972845,0.903996,0.917910,0.910900,1935,209,176,1968
37,3.538018,0.138974,6.907106,0.002703,0.974424,0.973726,0.903653,0.922611,0.913033,1932,211,166,1979
38,3.657887,0.323086,6.925402,0.003336,0.977103,0.976150,0.910584,0.930970,0.920664,1948,196,148,1996
39,3.507410,0.082232,6.914547,0.001991,0.974565,0.973130,0.902562,0.920243,0.911316,1931,213,171,1973
40,3.668311,0.392108,6.863327,0.003457,0.977841,0.976342,0.915519,0.930471,0.922935,1961,184,149,1994
41,3.505417,0.104544,6.882625,0.003446,0.977597,0.976201,0.908967,0.935228,0.921911,1941,201,139,2007
42,3.527908,0.114340,6.916836,0.002214,0.977214,0.975778,0.909465,0.927705,0.918495,1946,198,155,1989
43,3.438621,0.035469,6.832432,0.002807,0.979282,0.978174,0.912098,0.939337,0.925517,1951,194,130,2013
44,3.541669,0.099988,6.961846,0.001881,0.979222,0.978110,0.918199,0.931469,0.924786,1965,178,147,1998
45,3.578779,0.215288,6.896868,0.002931,0.978797,0.977953,0.908015,0.930037,0.918894,1942,202,150,1994
46,3.548852,0.159954,6.904164,0.001994,0.979794,0.979173,0.909504,0.931966,0.920598,1943,199,146,2000
47,3.541833,0.121663,6.936076,0.001994,0.980620,0.979624,0.918274,0.932836,0.925497,1966,178,144,2000
