epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.923522,0.409079,6.931402,0.530935,0.814942,0.801594,0.707551,0.826412,0.762376,1413,732,372,1771
2,3.697968,0.253884,6.930721,0.200693,0.925666,0.921772,0.846405,0.846405,0.846405,1817,329,329,1813
3,3.680758,0.320215,6.906299,0.088700,0.934755,0.932283,0.856279,0.859076,0.857675,1836,309,302,1841
4,3.495690,0.178065,6.732864,0.056047,0.941183,0.938990,0.866171,0.868998,0.867582,1855,288,281,1864
5,3.624273,0.387416,6.760220,0.029284,0.945354,0.943489,0.867166,0.864739,0.865950,1860,284,290,1854
6,3.609596,0.293854,6.840822,0.032182,0.949178,0.947910,0.878930,0.874416,0.876667,1888,258,269,1873
7,3.515495,0.176966,6.799571,0.023823,0.950671,0.949714,0.877627,0.876399,0.877013,1882,262,265,1879
8,3.632007,0.363335,6.804361,0.029565,0.951960,0.952205,0.870610,0.878731,0.874652,1864,280,260,1884
9,3.557600,0.237816,6.819254,0.013208,0.954552,0.954913,0.879173,0.871795,0.875468,1886,257,275,1870
10,3.524612,0.208820,6.787478,0.013954,0.954171,0.954523,0.880037,0.875524,0.877775,1887,256,267,1878
11,3.606092,0.360366,6.769538,0.012758,0.955513,0.955897,0.875991,0.878037,0.877013,1882,266,261,1879
12,3.562507,0.278063,6.782301,0.011297,0.956837,0.956156,0.883147,0.885208,0.884176,1894,251,246,1897
13,3.447908,0.167071,6.687064,0.010333,0.959502,0.959547,0.882407,0.887337,0.884865,1886,254,242,1906
14,3.413613,0.283019,6.477411,0.012740,0.959661,0.958455,0.886164,0.894024,0.890077,1900,246,227,1915
15,3.449027,0.290885,6.543334,0.007072,0.958824,0.958432,0.878479,0.882572,0.880521,1880,262,252,1894
16,3.394905,0.260646,6.471672,0.006704,0.959917,0.958927,0.885701,0.892724,0.889199,1897,247,230,1914
17,3.345213,0.163177,6.481472,0.016428,0.960731,0.959124,0.886740,0.898321,0.892493,1898,246,218,1926
18,3.376093,0.250825,6.447008,0.005236,0.962045,0.961771,0.888683,0.894074,0.891370,1905,240,227,1916
19,3.361862,0.260271,6.406367,0.006290,0.962541,0.961607,0.886636,0.896970,0.891773,1897,246,221,1924
20,3.379352,0.227980,6.480113,0.006269,0.962400,0.962198,0.879287,0.896503,0.887812,1879,264,222,1923
21,3.466406,0.303670,6.559618,0.010987,0.963413,0.962593,0.885794,0.889096,0.887442,1896,246,238,1908
22,3.400139,0.271607,6.470051,0.005374,0.965886,0.965026,0.892791,0.901961,0.897353,1914,232,210,1932
23,3.402117,0.225916,6.528897,0.005298,0.963056,0.962882,0.884740,0.895474,0.890074,1895,250,224,1919
24,3.346562,0.208741,6.435342,0.009116,0.964739,0.964242,0.884071,0.903030,0.893450,1889,254,208,1937
25,3.311924,0.159703,6.428146,0.005073,0.965442,0.964310,0.892758,0.896922,0.894835,1913,231,221,1923
26,3.536596,0.358231,6.640718,0.003246,0.966068,0.965949,0.882380,0.900514,0.891355,1890,257,213,1928
27,3.465023,0.264640,6.608430,0.005059,0.966703,0.966575,0.893891,0.907649,0.900717,1913,231,198,1946
28,3.468765,0.262283,6.606134,0.020820,0.967263,0.966725,0.889348,0.903030,0.896137,1902,241,208,1937
