epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.961379,0.403931,6.931812,0.632787,0.754362,0.753583,0.644799,0.696828,0.669805,1321,823,650,1494
2,3.859629,0.290845,6.932208,0.547545,0.930541,0.925356,0.853023,0.856209,0.854613,1830,316,308,1834
3,3.841318,0.348867,6.932082,0.414892,0.943917,0.942278,0.864617,0.877912,0.871214,1847,295,262,1884
4,3.703945,0.212675,6.931054,0.277033,0.949791,0.948315,0.870577,0.872608,0.871592,1867,278,273,1870
5,3.727876,0.327007,6.926261,0.171354,0.953628,0.951439,0.874942,0.884741,0.879814,1874,271,247,1896
6,3.764814,0.440488,6.914292,0.108437,0.955154,0.954394,0.876775,0.891476,0.884065,1872,269,233,1914
7,3.643676,0.305949,6.862740,0.071842,0.955739,0.955153,0.872603,0.892157,0.882271,1867,279,231,1911
8,3.594356,0.261926,6.832778,0.052029,0.958462,0.957441,0.882353,0.895940,0.889095,1889,256,223,1920
9,3.691605,0.415872,6.843352,0.051015,0.958714,0.957257,0.879945,0.891841,0.885853,1882,261,232,1913
10,3.639615,0.293563,6.902380,0.030718,0.960446,0.959988,0.883464,0.893756,0.888580,1889,253,228,1918
