epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.455725,0.293992,7.819368,0.045552,0.817116,0.815524,0.716096,0.711422,0.713751,1538,605,619,1526
2,4.337294,0.299998,7.622985,0.019306,0.948798,0.940563,0.864998,0.903361,0.883763,1844,302,207,1935
3,4.272514,0.284558,7.498969,0.040061,0.955391,0.948634,0.868584,0.914725,0.891058,1845,297,183,1963
4,4.560202,0.310695,8.009540,0.030285,0.944391,0.936804,0.853398,0.896407,0.874374,1815,330,222,1921
5,4.290236,0.156914,7.666207,0.006420,0.956153,0.950021,0.869431,0.918881,0.893472,1847,296,174,1971
6,4.488682,0.252834,7.944266,0.011122,0.960542,0.954326,0.871152,0.924837,0.897192,1853,293,161,1981
7,4.225328,0.167830,7.537452,0.008411,0.965673,0.961512,0.881400,0.939366,0.909460,1873,271,130,2014
8,4.479637,0.233617,7.948475,0.005695,0.962213,0.956065,0.876419,0.937850,0.906095,1865,283,133,2007
9,4.533957,0.257029,8.017833,0.016971,0.969920,0.965392,0.891063,0.935574,0.912776,1901,245,138,2004
10,4.426357,0.221562,7.859857,0.007466,0.974084,0.969420,0.908682,0.942604,0.925332,1942,203,123,2020
